Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146589,127339588,3.25663,11.870589727838336,10.3935,1.85218,1,-1,G,T,True,False
146589,127365653,3.12702,5.446682391226791,3.28031,2.98844,-1,1,G,G,True,True
146589,127658728,3.06214,10.354460129103787,7.33665,3.23941,1,-1,G,T,True,False
146644,498673629,2.62609,9.60430062276395,6.24048,3.67719,-1,1,G,G,True,True
146644,499283858,3.17547,2.850243781692366,2.75253,1.4227,1,-1,G,T,True,False
146644,499342217,2.95674,24.335919234220434,16.456,7.904,1,-1,G,G,True,True
146644,499394573,3.03218,11.015197725339853,10.632,0.785007,1,-1,G,T,True,False
146644,499517414,3.09622,17.953000024642122,9.50023,8.51903,1,-1,G,G,True,True
146644,500366747,3.0622,7.046424622920478,4.77162,2.89925,-1,1,G,T,True,False
146644,500715088,3.08433,12.534195051775125,7.13433,5.44096,-1,1,G,G,True,True
